Moviename,Rating,Votes,Duration,Genre
Outlaw,5.2,901,82,Action
Viduthalai Part 2,8.0,15000,170,Action
Revolver,5.4,818,114,Action
Snow White and the Seven Samurai,3.2,263,88,Action
The Ballad of Davy Crockett,4.6,244,96,Action
The Hangman,3.3,985,92,Action
Savi,6.2,35000,126,Action
Agni,7.3,15000,122,Action
Spiders on a Plane,5.7,360,78,Action
"Love, Courage and the Battle of Bushy Run",5.0,171,113,Action
A Legend,4.7,854,129,Action
Kanguva,4.6,14000,152,Action
Baby Invasion,5.6,60,80,Action
Handsome Guys,6.5,747,101,Action
72 Hours,4.1,279,87,Action
Cells at Work!,6.8,164,109,Action
The Slave and the Sorcerer,6.7,37,86,Action
Heart of the Hunter,4.7,2100,105,Action
Bagheera,6.7,7300,158,Action
Chandu Champion,7.8,34000,142,Action
The Last Front,5.5,596,98,Action
London Calling,7.5,17,109,Action
The Lockdown,4.3,594,117,Action
Vettaiyan,7.0,39000,163,Action
Cassino in Ischia,4.4,229,113,Action
Vedaa,6.0,4200,145,Action
40 Acres,6.4,99,113,Action
Overlord: The Sacred Kingdom,7.0,697,135,Action
Nice Girls,4.2,1200,92,Action
Roadkill,3.6,672,90,Action
Crosspoint,7.4,22,100,Action
A.R.M,7.1,8500,150,Action
Don't Mess with Grandma,6.1,143,81,Action
GTMax,5.0,1200,100,Action
Invasion,4.8,664,91,Action
Get Fast,3.6,434,88,Action
Big Rage,3.6,149,115,Action
Mura,7.3,6200,129,Action
Alangu,8.3,1100,131,Action
12 to Midnight,3.6,274,96,Action
Non Negotiable,5.4,1200,87,Action
War of the Worlds: Extinction,3.0,172,84,Action
Mission: Cross,6.1,2500,105,Action
How to Rob a Bank,6.6,4100,88,Action
Cesium Fallout,6.7,407,136,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,649,174,Action
The Last Ronin,4.9,223,121,Action
Toofan,7.1,6100,145,Action
12 Gaun,6.3,862,147,Action
Continental Split,3.5,532,88,Action
Black Heat,8.3,32,93,Action
Guntur Kaaram,5.4,25000,159,Action
Devil's Knight,5.4,774,90,Action
Thangalaan,6.6,6500,156,Action
The Twisters,2.5,314,86,Action
Bade Miyan Chote Miyan,3.8,39000,163,Action
Bionic,4.3,1700,110,Action
Yolo,6.9,3600,129,Action
High Forces,5.8,499,119,Action
School of Magical Animals 3,5.9,295,105,Action
The Last of Us: Immunity,6.3,13,64,Action
Kingdom 4: Return of the Great General,7.1,1200,145,Action
Bachhala Malli,8.3,3900,140,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,6400,154,Action
UI,6.9,5600,135,Action
Escape from the 21st Century,6.5,809,98,Action
Taken from Rio Bravo,3.0,307,80,Action
Sector 17,7.4,1300,146,Action
Diabel,5.1,199,108,Action
Art of Eight Limbs,4.0,303,101,Action
Eye for an Eye 2,6.5,478,90,Action
The Charisma Killers,5.9,521,101,Action
Pimpinero: Blood and Oil,5.6,537,121,Action
Yodha,5.7,8800,130,Action
Ryan's World the Movie: Titan Universe Adventure,1.8,634,80,Action
Je Jatt Vigarh Gya,5.7,814,132,Action
Blade of Fury,6.1,111,90,Action
Ka Whawhai Tonu,7.4,169,115,Action
The Friendly,8.1,15,101,Action
Dange,5.4,786,154,Action
The Firefighters,5.8,145,106,Action
Alienoid: The Return to the Future,6.5,2500,122,Action
Hunting with Tigers,5.6,505,109,Action
Paradise,6.9,77,83,Action
Devaki Nandana Vasudeva,8.9,2700,128,Action
Deaner '89,5.9,413,90,Action
Hellhound,4.3,486,103,Action
Bloodline,9.2,46,80,Action
Auron Mein Kahan Dum Tha,6.6,40000,150,Action
Shark Warning,3.4,247,94,Action
Jathara,8.0,1000,129,Action
Nothing Even Matters,5.4,71,90,Action
Snatched,4.9,206,101,Action
No Time to Spy: A Loud House Movie,6.4,434,81,Action
Memes & Nightmares,5.8,73,81,Action
Operation Undead,4.6,348,110,Action
Fyre Rises,6.5,321,110,Action
Witch Hunter,5.1,21,80,Action
Mr. Bachchan,3.6,5200,150,Action
Bureau 749,4.1,501,123,Action
Martin,2.3,36000,147,Action
Ayalaan,6.0,4000,155,Action
Rajakili,8.4,546,122,Action
Crisis Negotiators,6.7,691,120,Action
Yudhra,5.0,13000,142,Action
Baby Assassins: Nice Days,7.3,268,103,Action
Bangkok Dog,6.4,94,85,Action
Sorgavaasal,6.6,1300,138,Action
The Actor,3.3,722,128,Action
Tillu Square,6.6,3400,137,Action
Mummy Shark,2.0,166,66,Action
Eagle,5.9,4900,159,Action
Orang Ikan,6.5,31,83,Action
Zebra,8.0,3200,164,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.2,447,72,Action
Customs Frontline,5.4,459,115,Action
Rogue Elements: A Ryan Drake Story,4.9,913,44,Action
The Kingdom,7.9,85,133,Action
Pottel,8.3,2700,148,Action
Lady Scorpions,3.6,361,101,Action
Fighting the Fire,8.6,1700,115,Action
Ballistic,2.3,161,95,Action
(Pri)sons,5.1,250,100,Action
Xiong Shi Shao Nian 2,7.5,184,134,Action
Rendel: Cycle of Revenge,3.6,241,99,Action
Mobile Suit Gundam SEED Freedom,6.6,923,124,Action
Gandhi 3,5.5,230,143,Action
Conquer: Lahad Datu,6.7,494,120,Action
Siren,6.4,2900,154,Action
Raqa,6.5,58,107,Action
Garudan,7.1,3300,133,Action
Road Wars: Max Fury,2.0,349,83,Action
Clone Cops,8.1,185,96,Action
Reloaded 2,8.0,1000,45,Action
Barroz: Guardian of Treasures,3.5,940,155,Action
Kuang Bao Ju Xi,6.2,66,75,Action
Baki Hanma VS Kengan Ashura,5.7,1900,62,Action
Abudeka Is Back,5.3,28,120,Action
Rode College,6.6,421,168,Action
Buddy,3.8,339,137,Action
Ape X Mecha Ape: New World Order,2.7,128,87,Action
Kahar: Kapla High Council,7.0,441,102,Action
Aserb: The Squadron,5.2,298,120,Action
Bangkok Breaking: Heaven and Hell,5.8,652,146,Action
Kamen Rider 555 20th: Paradise Regained,5.9,141,65,Action
Bonus Trip,4.5,217,113,Action
Stranded Pearl,6.0,27,90,Action
Turbo,5.9,3500,155,Action
Exorcism Chronicles: The Beginning,7.0,64,85,Action
Ghosts of Red Ridge,3.3,145,81,Action
Desperado,5.9,139,100,Action
Drive,5.6,311,90,Action
The Mick and the Trick,5.0,75,96,Action
Love You to Debt,6.2,747,135,Action
Mission: Chapter 1,5.9,1700,144,Action
Bhaiyya Ji,4.8,7300,150,Action
Premalo,7.3,1100,128,Action
Sheriff,6.9,1100,133,Action
Kill Craft,2.3,361,99,Action
Mechanic Rocky,6.5,3400,156,Action
Anchakkallakokkan,6.6,1000,126,Action
The Miranda Brothers,4.4,187,99,Action
Operation Valentine,5.3,1400,133,Action
Prepare to Die,4.6,228,93,Action
Naam,6.4,274,136,Action
Sayen: The Huntress,4.4,250,88,Action
Neon Fear,6.1,387,40,Action
Ship of the Damned,2.8,293,88,Action
Rang De Basanti,8.8,144,174,Action
The Infallibles,4.8,745,99,Action
Oru Anveshanathinte Thudakkam,7.1,830,181,Action
Captain Miller,6.5,8600,157,Action
Spirit Riser,6.7,33,98,Action
Camp Blood: Clown Shark,3.3,82,70,Action
Bhaje Vaayu Vegam,6.1,542,136,Action
Kung Fu Games,3.3,373,98,Action
Hrashwo Deergha,7.9,79,150,Action
Troubleshooters,6.7,401,110,Action
Sasan,8.5,63,155,Action
Bidurbhai,9.2,375,148,Action
Ruslaan,3.3,1200,120,Action
Samandar,7.6,136,172,Action
Sentimentaaal,5.8,971,135,Action
The Grey Men,6.5,69,97,Action
Losing Lerato 2,9.1,31,96,Action
Mother Mafia,3.3,47,80,Action
Sabari,8.4,5400,129,Action
Ghost Killer,7.2,58,105,Action
They Call Her Death,6.2,22,92,Action
Pusaka,6.4,31,90,Action
Yuva,5.8,834,153,Action
Saindhav,5.0,1600,138,Action
Angel of the Warrior,8.5,132,90,Action
Breaking and Re-entering,5.8,431,109,Action
Cholo Zombies,4.7,101,96,Action
Bandaa Singh Chaudhary,6.3,5200,113,Action
Taklee Genesis x Worlds Collide,5.5,382,146,Action
Hunt the Wicked,5.3,106,102,Action
Buying Time,7.0,258,84,Action
The Burden of Nine Lives,4.8,100,116,Action
The Circuit 4: Faith Fighter,4.4,87,90,Action
The Traveller,5.3,199,134,Action
KA,7.2,1500,151,Action
Six jours,6.3,96,95,Action
Bull Shark 2,2.9,151,75,Action
Where Is Gilgamesh?,9.0,603,90,Action
Game On,5.3,2300,140,Action
Matka,4.7,572,156,Action
Mazhai Pidikatha Manithan,4.5,416,133,Action
The Bouncer,4.3,80,78,Action
Touchdown,6.8,13,78,Action
Gold Raiders,2.0,179,88,Action
Captain Avispa,5.8,172,96,Action
September Babies,6.3,282,94,Action
Alien Country,4.4,349,96,Action
Bad Boyz,4.6,605,150,Action
Pranaya Godari,7.8,2400,148,Action
Mercy Killing,8.7,2700,131,Action
The Alexandrian,3.9,248,104,Action
Bohurupi,8.3,1400,155,Action
Nu Huo 12 Xiao Shi,6.0,44,86,Action
American Underdog,8.8,23,89,Action
First Nights at Freddy's,9.3,14,98,Action
Gone with the Dead,5.1,39,96,Action
Bastar: The Naxal Story,6.4,3300,124,Action
Bhairadevi,8.8,43,134,Action
Citizen of a Kind,6.7,769,114,Action
Texas Twister,2.5,157,88,Action
Appudo Ippudo Eppudo,4.7,227,120,Action
Kiyma: Orman Kanunlari,4.3,34,81,Action
Thiragabadara Saami,6.4,94,115,Action
Sons of Rizk 3,6.7,1600,125,Action
Tòkunbò,3.9,289,113,Action
Dragon Ball Z Kai,8.4,65,82,Action
Kizumonogatari: Koyomi Vamp,6.9,79,144,Action
Purushothamudu,4.9,2200,120,Action
Election,5.9,807,120,Action
The Desperate Chase,5.5,50,110,Action
Joachim and the Apocalypse,7.2,12,90,Action
Ajay Gadu,7.3,1000,108,Action
Correr para Vivir,7.0,193,97,Action
The Evil Three,7.2,853,30,Action
Sous écrous,5.3,33,111,Action
The Plot,4.8,360,100,Action
The Last Chainsaw Massacre,4.0,38,75,Action
Checkmate,4.3,380,104,Action
Anthima Theerpu,8.1,1500,133,Action
In Tenebras: Into the Darkness,3.2,171,90,Action
Mathu Vadalara 2,7.0,1600,139,Action
Artist Unknown,9.2,11,82,Action
Guy Manley: Super Spy,4.5,115,92,Action
24 Hours to D-Day,4.8,34,83,Action
I Heart Robots,4.6,2300,76,Action
The Moon Thieves,6.2,223,108,Action
Major Grom: The Game,6.1,1800,168,Action
Stuntman,7.0,134,114,Action
Hit List,5.5,309,125,Action
Dirty Money,5.7,107,100,Action
Por,5.0,606,154,Action
Virunnu,7.9,875,125,Action
Dünya Mali: Eksi Bir,7.2,15,133,Action
Sikaar,8.3,675,150,Action
Neo-Dome,6.6,15,15,Action
Türkler Çildirmis Olmali 2: Mavi Vatan,2.2,152,100,Action
Permafrost,5.7,112,80,Action
Polar,4.4,28,76,Action
Death Game,6.3,24,88,Action
Dark Fusion,8.5,233,90,Action
Go for Broke,5.7,267,115,Action
Saint Young Men: Holy Men vs Demon Army,3.0,13,93,Action
Mutant,4.5,58,90,Action
Tariq,6.9,15,122,Action
Anunnakiler,2.6,426,76,Action
Rob N Roll,6.1,1400,98,Action
Deadzone,4.2,33,80,Action
Young Lion of the West,8.1,105,93,Action
Komandir,6.3,512,131,Action
Petta Rap,4.2,1700,123,Action
Saala,5.9,1100,130,Action
Dangerous Boys 2,5.7,8,115,Action
Kondal,5.4,761,147,Action
Honeko Akabane's Bodyguards,5.9,35,117,Action
UmroAyyar - A New Beginning,6.9,669,135,Action
Mahadev Ka Gorakhpur,7.8,367,131,Action
Naag Bhoomi,5.7,7,130,Action
Iddaru,9.2,294,148,Action
The Epidemic,5.8,69,95,Action
Chasing Raine,2.3,186,101,Action
Ameena,6.3,18,107,Action
Bonnie,7.4,32,120,Action
Joshua: Imai Pol Kaka,4.5,583,130,Action
Black Storm,6.6,65,97,Action
Average Student Nani,8.1,2200,138,Action
Star Abyss,3.8,241,86,Action
Shark Island,4.0,114,81,Action
Next to Us,4.9,220,125,Action
Die Chaosschwestern und Pinguin Paul,5.7,66,100,Action
The Wild Blade of Strangers,6.6,106,102,Action
The Experts,6.2,259,121,Action
Jithender Reddy,9.5,2300,136,Action
Breaking Tradition,7.3,21,87,Action
The Omicron Killer,2.9,594,98,Action
Death Bitch,7.5,19,88,Action
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8,25,71,Action
London Gangsters,4.3,11,104,Action
6 Hours Away,3.9,239,93,Action
Mongol,8.7,88,155,Action
South Side Hero,5.6,35,92,Action
Formed Police Unit,4.6,472,120,Action
Yakuza Girl,2.3,65,82,Action
Chaari 111,4.8,255,130,Action
Surrender,7.8,15,149,Action
Warning 2,7.1,879,125,Action
Spider-Man: Final Swing,8.4,10,153,Action
The Drunken Prodigy,5.6,13,107,Action
Fuuto PI: Portrait of Kamen Rider Skull,7.5,30,82,Action
The Captives,3.5,65,73,Action
Rathnam,5.4,3700,155,Action
Kamen Rider Gotchard: The Future Daybreak,8.0,66,63,Action
Inkabi,4.7,77,101,Action
Double Ismart,2.9,2100,156,Action
Iron Fighter,3.6,59,80,Action
Raanti,6.5,1100,115,Action
Lisabi: The Uprising,6.4,121,107,Action
Jorge da Capadócia,6.4,128,119,Action
Hell City,9.1,26,90,Action
Gam Gam Ganesha,5.3,307,140,Action
Onsen shâku,6.4,9,70,Action
Brattt,4.7,66,117,Action
Rocky and Bullwinkle,9.7,11,100,Action
Nasha Jurm Aur Gangsters,7.0,2400,137,Action
The Vampire and the Vigilante,3.8,47,75,Action
What Happens in Miami,4.3,218,90,Action
Lie Zhan,6.9,66,93,Action
Shu Si Yi Bo,6.6,32,91,Action
Bheema,5.8,947,148,Action
Haraa,5.5,2900,136,Action
Hain,2.9,45,95,Action
Shekko,6.0,533,120,Action
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.8,14,90,Action
Karma,4.5,17,111,Action
Viswam,4.3,628,155,Action
Marni: The Story of Wewe Gombel,5.9,199,119,Action
GATAO: Like Father Like Son,6.8,65,100,Action
Thankamani,4.6,229,156,Action
Runner,5.7,46,90,Action
Harom Hara,7.7,3000,154,Action
Lal Salaam,4.4,1300,150,Action
Sacrum Vindictae II,4.8,12,114,Action
Naa Saami Ranga,4.5,1200,150,Action
Hiranya,6.3,13,138,Action
Gangs of Godavari,5.0,899,165,Action
"Silex and the City, le film",4.9,47,77,Action
Appu,8.6,181,92,Action
Heavens: The Boy and His Robot,6.3,21,98,Action
Hide and Seek,8.2,54,130,Action
The Worlds Divide,8.0,36,120,Action
Usha Parinayam,9.0,2100,144,Action
Dr. Jason II - Lights & Shadows,5.3,284,62,Action
Uninvited,6.7,70,93,Action
Kill the Children first,7.8,25,106,Action
The Heist,6.9,2000,120,Action
Surge of Power: Where There's Smoke,7.3,12,68,Action
Mega Twister,2.5,49,75,Action
The Escapee 3: The Final Escape,2.7,63,83,Action
Itutumba ka ng tatay ko,5.7,29,109,Action
Killer Ex,3.9,52,94,Action
Rebel,3.2,64,100,Action
Genis Aile 4: Cevahir & Ulvi,6.9,53,90,Action
Love You as the World Ends Final,6.5,36,115,Action
Agastya - Chapter 1,6.9,576,168,Action
Ultraman Blazar the Movie: Tokyo Kaiju Showdown,7.5,80,75,Action
Cândido,6.3,58,99,Action
Midas,4.6,332,85,Action
The Day Everything Changed,7.9,77,97,Action
Sunfall,2.5,23,74,Action
Kali,5.1,405,96,Action
Malaikottai Vaaliban,6.0,4100,156,Action
Malayalee from India,5.6,5000,160,Action
Pariah Volume 1: Every Street Dog Has a Name,6.9,383,138,Action
Yao Shen Ling,6.7,66,93,Action
Ame no naka no yokujô,6.0,66,132,Action
Weapon,5.5,5500,120,Action
Rock 'n' Roll Ringo,6.4,52,101,Action
Fights Break Sphere 3,4.7,8,81,Action
Kamen Rider Geats: Jyamato Awaking,7.9,69,54,Action
Aho Vikramaarka,7.4,53,136,Action
Second Life,6.9,40,105,Action
Gravediggers,6.6,26,91,Action
Zénithal,5.3,70,80,Action
Sarangadhariya,8.6,3100,150,Action
The Very Last Christmas,8.5,11,75,Action
Usire Usire,7.5,1100,151,Action
Thundu,5.0,900,125,Action
Hitler,5.2,302,128,Action
The Bodyguard,6.6,27,87,Action
Panjab Files,7.9,17,117,Action
Red vs. Blue: Restoration,5.6,135,85,Action
Vorovka,4.9,48,90,Action
Marine Drive,9.5,49,105,Action
Holy Punch,5.2,37,98,Action
Telekinesis,5.9,59,106,Action
Charlotte Link - Ohne Schuld,5.5,41,89,Action
Kade,6.5,15,92,Action
Jigar,7.1,18,122,Action
Chinatown Chacha,5.1,55,103,Action
Roxana,4.0,63,98,Action
Max Beyond,6.6,17,93,Action
Mirg,6.3,35,83,Action
Speed 220,6.8,1000,114,Action
Achilles Curse and the Curse of Treasure,7.4,24,125,Action
Athhoi,8.0,133,158,Action
Krishnamma,6.2,362,138,Action
Hakkenden,5.8,71,149,Action
The Bottom Line,7.0,10,107,Action
Halloween: Mal Eterno,8.3,223,50,Action
Purushothamudu,7.7,12,120,Action
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1,29,50,Action
Tales Beyond the Galaxy,5.5,146,76,Action
Clownface 3,10.0,34,104,Action
The Mystery of Humanoid Puppet,6.7,60,88,Action
Raju Gari Ammayi Naidu Gari Abbayi,8.5,3100,158,Action
Dhaaak,8.6,24,128,Action
Blood Vendetta,7.7,234,90,Action
Dead Hand,4.1,75,92,Action
The Yoshi Movie,7.7,12,105,Action
Faster: Only one lap,7.1,23,90,Action
The Correct Way of Youth,9.3,779,90,Action
Pushpaka Vimanam,5.6,16,137,Action
Too Little Too Late,5.5,8,66,Action
Kreem,6.8,128,115,Action
Gull Lake Vice II: The Delusion Continues,8.2,16,58,Action
Dark World,4.6,14,135,Action
Emanet,7.9,28,97,Action
Zoloto Umalty,5.0,101,109,Action
Shri Swapankumarer Badami Hyenar Kobole,5.6,323,146,Action
Supplier Shankara,9.3,70,163,Action
Death Game,5.2,14,87,Action
The Journey of Flower,3.9,25,97,Action
Villain - Life of a Gangster,8.9,156,141,Action
Jurassic Exorcist,3.9,20,76,Action
Pithala Maathi,7.8,848,140,Action
Mr. Natwarlal,7.6,778,130,Action
Ohsama Sentai King-Ohger vs. Donbrothers,6.8,36,26,Action
Bhimaa,5.1,1200,141,Action
Cholay,8.6,53,60,Action
Agent 86,6.7,6,87,Action
Shadows of Betrayal: Chronicles of Ian Blair,7.3,12,65,Action
Mobile Suit Gundam: Silver Phantom,6.1,13,90,Action
Crypto Storm,4.7,31,101,Action
Hope & Glory,6.6,142,44,Action
Shockwaves 2,2.8,146,79,Action
Di Renjie: Tongtian xuan an,7.2,15,85,Action
Operation Wakaliga: Fate and Blood,6.7,11,66,Action
Played,6.2,11,96,Action
Useful Idiots,7.8,13,92,Action
Serra das Almas,6.3,10,120,Action
Common Creed: Trafficking,6.7,8,106,Action
Break War,2.4,14,86,Action
Warrior Awang and Master Tok Gajah,4.6,473,118,Action
"Bullets, Brothers and Blood",7.8,13,85,Action
Babu,7.7,179,142,Action
Nothing Unusual,9.7,12,92,Action
Inherited,9.5,21,76,Action
DNA,5.2,209,156,Action
Hocus Focus,7.9,19,85,Action
Rooban,6.5,281,125,Action
Pungut,6.7,11,100,Action
Dheera,8.0,1300,123,Action
Lorry Chapter-1,5.7,2400,183,Action
Inexternal,3.3,19,83,Action
Indrani: Epic-1 Dharam vs Karam,7.6,1100,157,Action
Oversteer,4.7,17,86,Action
Mirza: Part 1 - Joker,6.8,236,165,Action
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7,196,129,Action
Sathyam,7.1,8,134,Action
Opportunity,9.1,89,96,Action
Sith Wars: Episódio III - Fantasmas Dos Sith,8.8,111,99,Action
Xiao zi,3.5,12,101,Action
